ew,Type,Nation1,Nation2,Nation3 ,Nation4,Nation5,Nation6,Nation7,Nation8,Nation9,Nation10,Nation11,Nation12,,Band1,Band2,Band3,Band4,,,,Place,State,Date,DemallieDeloria,URL,Comments
V0122,Operable,Saone Sioux,Oglala Sioux,,,,,,,,,,,,,,,,,,,Mouth of the Teton River,MT,07-05-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/ogl0230.htm,
V0123,Operable,Cheyenne,,,,,,,,,,,,,,,,,,,,Mouth of the Teton River,MT,07-06-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/che0232.htm,
V0124,Operable,Hunkpapa Sioux,,,,,,,,,,,,,,,,,,,,Arikara Village,ND,07-16-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/hun0235.htm,
V0125,Operable,Arikara,,,,,,,,,,,,,,,,,,,,Arikara Village,ND,07-18-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/ari0237.htm,
V0126,Operable,Hidatsa,,,,,,,,,,,,,,,,,,,,Lower Mandan Village,ND,07-30-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/bel0239.htm,
V0127,Operable,Mandan,,,,,,,,,,,,,,,,,,,,Mandan Village,ND,07-30-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/man0242.htm,
V0128,Operable,Crow,,,,,,,,,,,,,,,,,,,,Mandan Village,ND,08-04-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/cro0244.htm,
V0129,Operable,Great Osage,Little Osage,,,,,,,,,,,,,,,,,,,Council Grove,MO,08-10-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/osa0246.htm,
V0130,Operable,Kansa,,,,,,,,,,,,,,,,,,,,"Sora Kansas Creek, SW of Fort Osage",MO,08-16-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/kan0248.htm,
V0131,Operable,Sioux,Chippewa,Sauk,Fox,Menominee,Iowa,Winnebago,,,,,,,,,,,,,,Prairie du Chien,MI,08-19-1825,189,http://digital.library.okstate.edu/kappler/Vol2/treaties/sio0250.htm,
